,player,pl_acc,pl_pps,min_start,min_mid,min_end,shots_count,shots_made,shots_freq,shots_acc,group
49,Derrick Favors,71.0,142.0,4,3.5,4,6,6,5.5,100.0,NOP
50,E'Twaun Moore,46.7,100.0,4,3.5,4,4,1,3.6,25.0,NOP
51,Lonzo Ball,41.0,107.1,4,3.5,4,14,5,12.7,35.7,NOP
52,JJ Redick,48.6,122.7,4,3.5,4,19,12,17.3,63.2,NOP
53,Josh Hart,38.7,103.2,4,3.5,4,1,0,0.9,0.0,NOP
54,Jrue Holiday,44.6,101.9,4,3.5,4,21,9,19.1,42.9,NOP
55,Brandon Ingram,48.2,109.0,4,3.5,4,26,13,23.6,50.0,NOP
56,Jahlil Okafor,65.1,132.6,5,4.5,5,0,0,0.0,0.0,NOP
57,Jaxson Hayes,77.8,155.6,5,4.5,5,1,0,0.9,0.0,NOP
58,Nicolo Melli,36.4,88.6,5,4.5,5,2,0,1.7,0.0,NOP
59,Zion Williamson,54.3,111.4,5,4.5,5,6,0,5.2,0.0,NOP
60,Frank Jackson,44.7,105.3,5,4.5,5,1,0,0.9,0.0,NOP
61,Nickeil Alexander-Walker,22.2,57.8,5,4.5,5,0,0,0.0,0.0,NOP
62,Kenrich Williams,38.6,95.5,5,4.5,5,6,2,5.2,33.3,NOP
63,Derrick Favors,71.0,142.0,5,4.5,5,13,11,11.3,84.6,NOP
64,E'Twaun Moore,46.7,100.0,5,4.5,5,1,0,0.9,0.0,NOP
65,Lonzo Ball,41.0,107.1,5,4.5,5,15,9,13.0,60.0,NOP
66,JJ Redick,48.6,122.7,5,4.5,5,18,10,15.7,55.6,NOP
67,Josh Hart,38.7,103.2,5,4.5,5,8,2,7.0,25.0,NOP
68,Jrue Holiday,44.6,101.9,5,4.5,5,21,11,18.3,52.4,NOP
69,Brandon Ingram,48.2,109.0,5,4.5,5,23,11,20.0,47.8,NOP
70,Jahlil Okafor,65.1,132.6,6,5.5,6,6,3,5.6,50.0,NOP
71,Jaxson Hayes,77.8,155.6,6,5.5,6,5,5,4.6,100.0,NOP
72,Nicolo Melli,36.4,88.6,6,5.5,6,2,0,1.9,0.0,NOP
73,Zion Williamson,54.3,111.4,6,5.5,6,5,3,4.6,60.0,NOP
74,Frank Jackson,44.7,105.3,6,5.5,6,0,0,0.0,0.0,NOP
75,Nickeil Alexander-Walker,22.2,57.8,6,5.5,6,0,0,0.0,0.0,NOP
76,Kenrich Williams,38.6,95.5,6,5.5,6,5,3,4.6,60.0,NOP
77,Derrick Favors,71.0,142.0,6,5.5,6,8,5,7.4,62.5,NOP
78,E'Twaun Moore,46.7,100.0,6,5.5,6,3,1,2.8,33.3,NOP
79,Lonzo Ball,41.0,107.1,6,5.5,6,16,5,14.8,31.2,NOP
80,JJ Redick,48.6,122.7,6,5.5,6,17,10,15.7,58.8,NOP
81,Josh Hart,38.7,103.2,6,5.5,6,5,2,4.6,40.0,NOP
82,Jrue Holiday,44.6,101.9,6,5.5,6,21,13,19.4,61.9,NOP
83,Brandon Ingram,48.2,109.0,6,5.5,6,15,10,13.9,66.7,NOP
84,Jahlil Okafor,65.1,132.6,7,6.5,7,3,3,2.8,100.0,NOP
85,Jaxson Hayes,77.8,155.6,7,6.5,7,5,4,4.6,80.0,NOP
86,Nicolo Melli,36.4,88.6,7,6.5,7,1,1,0.9,100.0,NOP
87,Zion Williamson,54.3,111.4,7,6.5,7,2,2,1.9,100.0,NOP
88,Frank Jackson,44.7,105.3,7,6.5,7,1,0,0.9,0.0,NOP
89,Nickeil Alexander-Walker,22.2,57.8,7,6.5,7,1,0,0.9,0.0,NOP
90,Kenrich Williams,38.6,95.5,7,6.5,7,3,2,2.8,66.7,NOP
91,Derrick Favors,71.0,142.0,7,6.5,7,5,3,4.6,60.0,NOP
92,E'Twaun Moore,46.7,100.0,7,6.5,7,1,1,0.9,100.0,NOP
93,Lonzo Ball,41.0,107.1,7,6.5,7,15,5,13.9,33.3,NOP
94,JJ Redick,48.6,122.7,7,6.5,7,18,6,16.7,33.3,NOP
95,Josh Hart,38.7,103.2,7,6.5,7,8,4,7.4,50.0,NOP
96,Jrue Holiday,44.6,101.9,7,6.5,7,19,8,17.6,42.1,NOP
97,Brandon Ingram,48.2,109.0,7,6.5,7,26,12,24.1,46.2,NOP
98,Jahlil Okafor,65.1,132.6,8,7.5,8,7,6,7.1,85.7,NOP
99,Jaxson Hayes,77.8,155.6,8,7.5,8,5,4,5.1,80.0,NOP
100,Nicolo Melli,36.4,88.6,8,7.5,8,2,1,2.0,50.0,NOP
101,Zion Williamson,54.3,111.4,8,7.5,8,1,1,1.0,100.0,NOP
102,Frank Jackson,44.7,105.3,8,7.5,8,2,1,2.0,50.0,NOP
103,Nickeil Alexander-Walker,22.2,57.8,8,7.5,8,2,0,2.0,0.0,NOP
104,Kenrich Williams,38.6,95.5,8,7.5,8,3,1,3.1,33.3,NOP
105,Derrick Favors,71.0,142.0,8,7.5,8,4,3,4.1,75.0,NOP
106,E'Twaun Moore,46.7,100.0,8,7.5,8,2,0,2.0,0.0,NOP
107,Lonzo Ball,41.0,107.1,8,7.5,8,13,8,13.3,61.5,NOP
108,JJ Redick,48.6,122.7,8,7.5,8,14,6,14.3,42.9,NOP
109,Josh Hart,38.7,103.2,8,7.5,8,5,2,5.1,40.0,NOP
110,Jrue Holiday,44.6,101.9,8,7.5,8,17,5,17.3,29.4,NOP
111,Brandon Ingram,48.2,109.0,8,7.5,8,21,11,21.4,52.4,NOP
112,Jahlil Okafor,65.1,132.6,9,8.5,9,2,1,1.7,50.0,NOP
113,Jaxson Hayes,77.8,155.6,9,8.5,9,10,7,8.7,70.0,NOP
114,Nicolo Melli,36.4,88.6,9,8.5,9,6,2,5.2,33.3,NOP
115,Zion Williamson,54.3,111.4,9,8.5,9,0,0,0.0,0.0,NOP
116,Frank Jackson,44.7,105.3,9,8.5,9,4,2,3.5,50.0,NOP
117,Nickeil Alexander-Walker,22.2,57.8,9,8.5,9,7,2,6.1,28.6,NOP
118,Kenrich Williams,38.6,95.5,9,8.5,9,4,2,3.5,50.0,NOP
119,Derrick Favors,71.0,142.0,9,8.5,9,1,1,0.9,100.0,NOP
120,E'Twaun Moore,46.7,100.0,9,8.5,9,5,2,4.3,40.0,NOP
121,Lonzo Ball,41.0,107.1,9,8.5,9,9,4,7.8,44.4,NOP
122,JJ Redick,48.6,122.7,9,8.5,9,22,8,19.1,36.4,NOP
123,Josh Hart,38.7,103.2,9,8.5,9,7,1,6.1,14.3,NOP
124,Jrue Holiday,44.6,101.9,9,8.5,9,14,8,12.2,57.1,NOP
125,Brandon Ingram,48.2,109.0,9,8.5,9,24,11,20.9,45.8,NOP
126,Jahlil Okafor,65.1,132.6,10,9.5,10,9,6,9.5,66.7,NOP
127,Jaxson Hayes,77.8,155.6,10,9.5,10,8,8,8.4,100.0,NOP
128,Nicolo Melli,36.4,88.6,10,9.5,10,8,3,8.4,37.5,NOP
129,Zion Williamson,54.3,111.4,10,9.5,10,0,0,0.0,0.0,NOP
130,Frank Jackson,44.7,105.3,10,9.5,10,6,3,6.3,50.0,NOP
131,Nickeil Alexander-Walker,22.2,57.8,10,9.5,10,9,3,9.5,33.3,NOP
132,Kenrich Williams,38.6,95.5,10,9.5,10,2,1,2.1,50.0,NOP
133,Derrick Favors,71.0,142.0,10,9.5,10,0,0,0.0,0.0,NOP
134,E'Twaun Moore,46.7,100.0,10,9.5,10,6,5,6.3,83.3,NOP
135,Lonzo Ball,41.0,107.1,10,9.5,10,13,7,13.7,53.8,NOP
136,JJ Redick,48.6,122.7,10,9.5,10,8,3,8.4,37.5,NOP
137,Josh Hart,38.7,103.2,10,9.5,10,8,4,8.4,50.0,NOP
138,Jrue Holiday,44.6,101.9,10,9.5,10,6,2,6.3,33.3,NOP
139,Brandon Ingram,48.2,109.0,10,9.5,10,11,7,11.6,63.6,NOP
140,Jahlil Okafor,65.1,132.6,11,10.5,11,3,2,2.9,66.7,NOP
141,Jaxson Hayes,77.8,155.6,11,10.5,11,5,5,4.9,100.0,NOP
142,Nicolo Melli,36.4,88.6,11,10.5,11,9,2,8.7,22.2,NOP
143,Zion Williamson,54.3,111.4,11,10.5,11,0,0,0.0,0.0,NOP
144,Frank Jackson,44.7,105.3,11,10.5,11,8,7,7.8,87.5,NOP
145,Nickeil Alexander-Walker,22.2,57.8,11,10.5,11,13,3,12.6,23.1,NOP
146,Kenrich Williams,38.6,95.5,11,10.5,11,6,3,5.8,50.0,NOP
147,Derrick Favors,71.0,142.0,11,10.5,11,2,1,1.9,50.0,NOP
148,E'Twaun Moore,46.7,100.0,11,10.5,11,8,3,7.8,37.5,NOP
149,Lonzo Ball,41.0,107.1,11,10.5,11,6,2,5.8,33.3,NOP
150,JJ Redick,48.6,122.7,11,10.5,11,11,8,10.7,72.7,NOP
151,Josh Hart,38.7,103.2,11,10.5,11,9,5,8.7,55.6,NOP
152,Jrue Holiday,44.6,101.9,11,10.5,11,9,3,8.7,33.3,NOP
153,Brandon Ingram,48.2,109.0,11,10.5,11,14,6,13.6,42.9,NOP
154,Jahlil Okafor,65.1,132.6,12,11.5,12,5,3,4.0,60.0,NOP
155,Jaxson Hayes,77.8,155.6,12,11.5,12,8,6,6.4,75.0,NOP
156,Nicolo Melli,36.4,88.6,12,11.5,12,6,3,4.8,50.0,NOP
157,Zion Williamson,54.3,111.4,12,11.5,12,0,0,0.0,0.0,NOP
158,Frank Jackson,44.7,105.3,12,11.5,12,14,4,11.2,28.6,NOP
159,Nickeil Alexander-Walker,22.2,57.8,12,11.5,12,13,2,10.4,15.4,NOP
160,Kenrich Williams,38.6,95.5,12,11.5,12,3,1,2.4,33.3,NOP
161,Derrick Favors,71.0,142.0,12,11.5,12,2,0,1.6,0.0,NOP
162,E'Twaun Moore,46.7,100.0,12,11.5,12,9,3,7.2,33.3,NOP
163,Lonzo Ball,41.0,107.1,12,11.5,12,10,3,8.0,30.0,NOP
164,JJ Redick,48.6,122.7,12,11.5,12,11,6,8.8,54.5,NOP
165,Josh Hart,38.7,103.2,12,11.5,12,6,3,4.8,50.0,NOP
166,Jrue Holiday,44.6,101.9,12,11.5,12,21,12,16.8,57.1,NOP
167,Brandon Ingram,48.2,109.0,12,11.5,12,17,8,13.6,47.1,NOP
168,Jahlil Okafor,61.9,123.8,13,12.5,13,0,0,0.0,0.0,NOP
169,Jaxson Hayes,58.1,117.7,13,12.5,13,2,1,2.2,50.0,NOP
170,Nicolo Melli,51.4,131.4,13,12.5,13,7,4,7.5,57.1,NOP
171,Zion Williamson,60.4,120.8,13,12.5,13,7,3,7.5,42.9,NOP
172,Frank Jackson,38.3,95.1,13,12.5,13,9,4,9.7,44.4,NOP
173,Nickeil Alexander-Walker,32.2,81.4,13,12.5,13,13,1,14.0,7.7,NOP
174,Kenrich Williams,21.2,54.5,13,12.5,13,4,1,4.3,25.0,NOP
175,Derrick Favors,54.5,110.9,13,12.5,13,2,1,2.2,50.0,NOP
176,E'Twaun Moore,41.0,102.5,13,12.5,13,18,6,19.4,33.3,NOP
177,Lonzo Ball,34.4,84.4,13,12.5,13,7,2,7.5,28.6,NOP
178,JJ Redick,42.4,118.4,13,12.5,13,3,2,3.2,66.7,NOP
179,Josh Hart,44.2,118.6,13,12.5,13,7,1,7.5,14.3,NOP
180,Jrue Holiday,50.9,113.7,13,12.5,13,10,3,10.8,30.0,NOP
181,Brandon Ingram,41.4,93.7,13,12.5,13,4,3,4.3,75.0,NOP
182,Jahlil Okafor,61.9,123.8,14,13.5,14,7,4,6.5,57.1,NOP
183,Jaxson Hayes,58.1,117.7,14,13.5,14,4,1,3.7,25.0,NOP
184,Nicolo Melli,51.4,131.4,14,13.5,14,8,4,7.4,50.0,NOP
185,Zion Williamson,60.4,120.8,14,13.5,14,5,2,4.6,40.0,NOP
186,Frank Jackson,38.3,95.1,14,13.5,14,14,5,13.0,35.7,NOP
187,Nickeil Alexander-Walker,32.2,81.4,14,13.5,14,7,4,6.5,57.1,NOP
188,Kenrich Williams,21.2,54.5,14,13.5,14,4,0,3.7,0.0,NOP
189,Derrick Favors,54.5,110.9,14,13.5,14,2,2,1.9,100.0,NOP
190,E'Twaun Moore,41.0,102.5,14,13.5,14,11,5,10.2,45.5,NOP
191,Lonzo Ball,34.4,84.4,14,13.5,14,10,5,9.3,50.0,NOP
192,JJ Redick,42.4,118.4,14,13.5,14,5,1,4.6,20.0,NOP
193,Josh Hart,44.2,118.6,14,13.5,14,15,8,13.9,53.3,NOP
194,Jrue Holiday,50.9,113.7,14,13.5,14,13,8,12.0,61.5,NOP
195,Brandon Ingram,41.4,93.7,14,13.5,14,2,1,1.9,50.0,NOP
196,Jahlil Okafor,61.9,123.8,15,14.5,15,7,4,6.4,57.1,NOP
197,Jaxson Hayes,58.1,117.7,15,14.5,15,7,4,6.4,57.1,NOP
198,Nicolo Melli,51.4,131.4,15,14.5,15,12,7,11.0,58.3,NOP
199,Zion Williamson,60.4,120.8,15,14.5,15,2,2,1.8,100.0,NOP
200,Frank Jackson,38.3,95.1,15,14.5,15,17,6,15.6,35.3,NOP
201,Nickeil Alexander-Walker,32.2,81.4,15,14.5,15,9,2,8.3,22.2,NOP
202,Kenrich Williams,21.2,54.5,15,14.5,15,2,0,1.8,0.0,NOP
203,Derrick Favors,54.5,110.9,15,14.5,15,3,3,2.8,100.0,NOP
204,E'Twaun Moore,41.0,102.5,15,14.5,15,11,2,10.1,18.2,NOP
205,Lonzo Ball,34.4,84.4,15,14.5,15,15,6,13.8,40.0,NOP
206,JJ Redick,42.4,118.4,15,14.5,15,6,3,5.5,50.0,NOP
207,Josh Hart,44.2,118.6,15,14.5,15,4,2,3.7,50.0,NOP
208,Jrue Holiday,50.9,113.7,15,14.5,15,11,5,10.1,45.5,NOP
209,Brandon Ingram,41.4,93.7,15,14.5,15,3,2,2.8,66.7,NOP
210,Jahlil Okafor,61.9,123.8,16,15.5,16,6,3,5.3,50.0,NOP
211,Jaxson Hayes,58.1,117.7,16,15.5,16,6,4,5.3,66.7,NOP
212,Nicolo Melli,51.4,131.4,16,15.5,16,10,4,8.8,40.0,NOP
213,Zion Williamson,60.4,120.8,16,15.5,16,8,6,7.1,75.0,NOP
214,Frank Jackson,38.3,95.1,16,15.5,16,4,2,3.5,50.0,NOP
215,Nickeil Alexander-Walker,32.2,81.4,16,15.5,16,9,4,8.0,44.4,NOP
216,Kenrich Williams,21.2,54.5,16,15.5,16,1,0,0.9,0.0,NOP
217,Derrick Favors,54.5,110.9,16,15.5,16,4,4,3.5,100.0,NOP
218,E'Twaun Moore,41.0,102.5,16,15.5,16,18,8,15.9,44.4,NOP
219,Lonzo Ball,34.4,84.4,16,15.5,16,5,1,4.4,20.0,NOP
220,JJ Redick,42.4,118.4,16,15.5,16,7,3,6.2,42.9,NOP
221,Josh Hart,44.2,118.6,16,15.5,16,13,6,11.5,46.2,NOP
222,Jrue Holiday,50.9,113.7,16,15.5,16,10,5,8.8,50.0,NOP
223,Brandon Ingram,41.4,93.7,16,15.5,16,12,6,10.6,50.0,NOP
224,Jahlil Okafor,61.9,123.8,17,16.5,17,3,1,2.8,33.3,NOP
225,Jaxson Hayes,58.1,117.7,17,16.5,17,3,0,2.8,0.0,NOP
226,Nicolo Melli,51.4,131.4,17,16.5,17,7,7,6.4,100.0,NOP
227,Zion Williamson,60.4,120.8,17,16.5,17,8,4,7.3,50.0,NOP
228,Frank Jackson,38.3,95.1,17,16.5,17,3,1,2.8,33.3,NOP
229,Nickeil Alexander-Walker,32.2,81.4,17,16.5,17,7,2,6.4,28.6,NOP
230,Kenrich Williams,21.2,54.5,17,16.5,17,2,1,1.8,50.0,NOP
231,Derrick Favors,54.5,110.9,17,16.5,17,0,0,0.0,0.0,NOP
232,E'Twaun Moore,41.0,102.5,17,16.5,17,21,12,19.3,57.1,NOP
233,Lonzo Ball,34.4,84.4,17,16.5,17,6,2,5.5,33.3,NOP
234,JJ Redick,42.4,118.4,17,16.5,17,7,1,6.4,14.3,NOP
235,Josh Hart,44.2,118.6,17,16.5,17,10,7,9.2,70.0,NOP
236,Jrue Holiday,50.9,113.7,17,16.5,17,19,11,17.4,57.9,NOP
237,Brandon Ingram,41.4,93.7,17,16.5,17,12,3,11.0,25.0,NOP
238,Jahlil Okafor,61.9,123.8,18,17.5,18,3,2,3.0,66.7,NOP
239,Jaxson Hayes,58.1,117.7,18,17.5,18,5,3,5.0,60.0,NOP
240,Nicolo Melli,51.4,131.4,18,17.5,18,9,3,8.9,33.3,NOP
241,Zion Williamson,60.4,120.8,18,17.5,18,6,5,5.9,83.3,NOP
242,Frank Jackson,38.3,95.1,18,17.5,18,7,3,6.9,42.9,NOP
243,Nickeil Alexander-Walker,32.2,81.4,18,17.5,18,3,1,3.0,33.3,NOP
244,Kenrich Williams,21.2,54.5,18,17.5,18,4,1,4.0,25.0,NOP
245,Derrick Favors,54.5,110.9,18,17.5,18,7,3,6.9,42.9,NOP
246,E'Twaun Moore,41.0,102.5,18,17.5,18,10,3,9.9,30.0,NOP
247,Lonzo Ball,34.4,84.4,18,17.5,18,7,1,6.9,14.3,NOP
248,JJ Redick,42.4,118.4,18,17.5,18,5,1,5.0,20.0,NOP
249,Josh Hart,44.2,118.6,18,17.5,18,9,2,8.9,22.2,NOP
250,Jrue Holiday,50.9,113.7,18,17.5,18,14,5,13.9,35.7,NOP
251,Brandon Ingram,41.4,93.7,18,17.5,18,12,6,11.9,50.0,NOP
252,Jahlil Okafor,61.9,123.8,19,18.5,19,4,4,4.0,100.0,NOP
253,Jaxson Hayes,58.1,117.7,19,18.5,19,11,5,10.9,45.5,NOP
254,Nicolo Melli,51.4,131.4,19,18.5,19,5,1,5.0,20.0,NOP
255,Zion Williamson,60.4,120.8,19,18.5,19,0,0,0.0,0.0,NOP
256,Frank Jackson,38.3,95.1,19,18.5,19,5,4,5.0,80.0,NOP
257,Nickeil Alexander-Walker,32.2,81.4,19,18.5,19,3,1,3.0,33.3,NOP
258,Kenrich Williams,21.2,54.5,19,18.5,19,2,0,2.0,0.0,NOP
259,Derrick Favors,54.5,110.9,19,18.5,19,8,3,7.9,37.5,NOP
260,E'Twaun Moore,41.0,102.5,19,18.5,19,8,3,7.9,37.5,NOP
261,Lonzo Ball,34.4,84.4,19,18.5,19,13,4,12.9,30.8,NOP
262,JJ Redick,42.4,118.4,19,18.5,19,6,3,5.9,50.0,NOP
263,Josh Hart,44.2,118.6,19,18.5,19,9,5,8.9,55.6,NOP
264,Jrue Holiday,50.9,113.7,19,18.5,19,14,7,13.9,50.0,NOP
265,Brandon Ingram,41.4,93.7,19,18.5,19,12,4,11.9,33.3,NOP
266,Jahlil Okafor,61.9,123.8,20,19.5,20,4,3,3.7,75.0,NOP
267,Jaxson Hayes,58.1,117.7,20,19.5,20,1,1,0.9,100.0,NOP
268,Nicolo Melli,51.4,131.4,20,19.5,20,1,0,0.9,0.0,NOP
269,Zion Williamson,60.4,120.8,20,19.5,20,1,1,0.9,100.0,NOP
270,Frank Jackson,38.3,95.1,20,19.5,20,7,1,6.5,14.3,NOP
271,Nickeil Alexander-Walker,32.2,81.4,20,19.5,20,3,1,2.8,33.3,NOP
272,Kenrich Williams,21.2,54.5,20,19.5,20,4,0,3.7,0.0,NOP
273,Derrick Favors,54.5,110.9,20,19.5,20,10,6,9.3,60.0,NOP
274,E'Twaun Moore,41.0,102.5,20,19.5,20,4,2,3.7,50.0,NOP
275,Lonzo Ball,34.4,84.4,20,19.5,20,13,4,12.0,30.8,NOP
276,JJ Redick,42.4,118.4,20,19.5,20,17,6,15.7,35.3,NOP
277,Josh Hart,44.2,118.6,20,19.5,20,8,2,7.4,25.0,NOP
278,Jrue Holiday,50.9,113.7,20,19.5,20,15,7,13.9,46.7,NOP
279,Brandon Ingram,41.4,93.7,20,19.5,20,19,7,17.6,36.8,NOP
280,Jahlil Okafor,61.9,123.8,21,20.5,21,3,1,2.9,33.3,NOP
281,Jaxson Hayes,58.1,117.7,21,20.5,21,4,2,3.9,50.0,NOP
282,Nicolo Melli,51.4,131.4,21,20.5,21,2,2,1.9,100.0,NOP
283,Zion Williamson,60.4,120.8,21,20.5,21,2,2,1.9,100.0,NOP
284,Frank Jackson,38.3,95.1,21,20.5,21,2,0,1.9,0.0,NOP
285,Nickeil Alexander-Walker,32.2,81.4,21,20.5,21,0,0,0.0,0.0,NOP
286,Kenrich Williams,21.2,54.5,21,20.5,21,0,0,0.0,0.0,NOP
287,Derrick Favors,54.5,110.9,21,20.5,21,4,2,3.9,50.0,NOP
288,E'Twaun Moore,41.0,102.5,21,20.5,21,4,3,3.9,75.0,NOP
289,Lonzo Ball,34.4,84.4,21,20.5,21,17,8,16.5,47.1,NOP
290,JJ Redick,42.4,118.4,21,20.5,21,20,8,19.4,40.0,NOP
291,Josh Hart,44.2,118.6,21,20.5,21,8,5,7.8,62.5,NOP
292,Jrue Holiday,50.9,113.7,21,20.5,21,16,9,15.5,56.2,NOP
293,Brandon Ingram,41.4,93.7,21,20.5,21,20,10,19.4,50.0,NOP
294,Jahlil Okafor,61.9,123.8,22,21.5,22,0,0,0.0,0.0,NOP
295,Jaxson Hayes,58.1,117.7,22,21.5,22,7,6,6.2,85.7,NOP
296,Nicolo Melli,51.4,131.4,22,21.5,22,3,2,2.7,66.7,NOP
297,Zion Williamson,60.4,120.8,22,21.5,22,2,1,1.8,50.0,NOP
298,Frank Jackson,38.3,95.1,22,21.5,22,4,1,3.6,25.0,NOP
299,Nickeil Alexander-Walker,32.2,81.4,22,21.5,22,1,1,0.9,100.0,NOP
300,Kenrich Williams,21.2,54.5,22,21.5,22,3,2,2.7,66.7,NOP
301,Derrick Favors,54.5,110.9,22,21.5,22,6,2,5.4,33.3,NOP
302,E'Twaun Moore,41.0,102.5,22,21.5,22,6,1,5.4,16.7,NOP
303,Lonzo Ball,34.4,84.4,22,21.5,22,10,2,8.9,20.0,NOP
304,JJ Redick,42.4,118.4,22,21.5,22,15,9,13.4,60.0,NOP
305,Josh Hart,44.2,118.6,22,21.5,22,8,3,7.1,37.5,NOP
306,Jrue Holiday,50.9,113.7,22,21.5,22,20,12,17.9,60.0,NOP
307,Brandon Ingram,41.4,93.7,22,21.5,22,27,11,24.1,40.7,NOP
308,Jahlil Okafor,61.9,123.8,23,22.5,23,2,2,1.9,100.0,NOP
309,Jaxson Hayes,58.1,117.7,23,22.5,23,7,6,6.6,85.7,NOP
310,Nicolo Melli,51.4,131.4,23,22.5,23,4,2,3.8,50.0,NOP
311,Zion Williamson,60.4,120.8,23,22.5,23,3,1,2.8,33.3,NOP
312,Frank Jackson,38.3,95.1,23,22.5,23,3,1,2.8,33.3,NOP
313,Nickeil Alexander-Walker,32.2,81.4,23,22.5,23,2,1,1.9,50.0,NOP
314,Kenrich Williams,21.2,54.5,23,22.5,23,2,0,1.9,0.0,NOP
315,Derrick Favors,54.5,110.9,23,22.5,23,3,3,2.8,100.0,NOP
316,E'Twaun Moore,41.0,102.5,23,22.5,23,5,4,4.7,80.0,NOP
317,Lonzo Ball,34.4,84.4,23,22.5,23,10,3,9.4,30.0,NOP
318,JJ Redick,42.4,118.4,23,22.5,23,15,6,14.2,40.0,NOP
319,Josh Hart,44.2,118.6,23,22.5,23,11,5,10.4,45.5,NOP
320,Jrue Holiday,50.9,113.7,23,22.5,23,16,10,15.1,62.5,NOP
321,Brandon Ingram,41.4,93.7,23,22.5,23,23,8,21.7,34.8,NOP
